ID,ACSTOTPOP,DEMOGIDX_2,DEMOGIDX_5,P_PM25,P_D2_PM25,P_D5_PM25,P_OZONE,P_D2_OZONE,P_D5_OZONE,P_DSLPM,P_D2_DSLPM,P_D5_DSLPM,P_CANCER,P_D2_CANCER,P_D5_CANCER,P_RESP,P_D2_RESP,P_D5_RESP,P_RSEIAIR,P_D2_RSEIAIR,P_D5_RSEIAIR,P_PTRAF,P_D2_PTRAF,P_D5_PTRAF,P_LDPNT,P_D2_LDPNT,P_D5_LDPNT,P_PNPL,P_D2_PNPL,P_D5_PNPL,P_PRMP,P_D2_PRMP,P_D5_PRMP,P_PTSDF,P_D2_PTSDF,P_D5_PTSDF,P_UST,P_D2_UST,P_D5_UST,P_PWDIS,P_D2_PWDIS,P_D5_PWDIS
24033800108,3561,0.515251709271954,0.061432945918023,37,62,28,62,81,42,61,73,44,17,74,27,50,78,54,53,75,35,66,77,43,27,55,21,71,79,47,81,86,51,63,78,43,94,90,55,84,94,52
24033800109,4131,0.589480013999976,0.167400561781607,38,66,63,62,86,82,62,79,78,17,83,83,50,85,86,53,80,74,86,91,89,64,83,79,69,84,83,82,89,87,64,83,81,91,92,90,83,96,94
24033800203,4956,0.327040749766672,0.064884302649347,35,43,28,59,60,42,61,58,45,17,51,30,50,64,55,49,55,35,73,64,49,47,57,35,64,62,45,86,73,56,39,44,31,38,44,30,66,69,42
24033800206,4041,0.536377134372680,0.123661408989883,42,67,56,64,84,71,59,74,65,17,77,67,50,80,75,46,70,56,75,83,74,23,51,34,85,90,79,54,74,63,57,75,65,33,54,44,88,96,89
24033800209,3976,0.648905922390282,0.191733188094565,38,69,68,63,89,86,62,82,83,17,89,88,50,91,90,52,83,79,70,87,87,31,66,57,73,92,89,78,90,89,64,87,85,94,96,94,86,98,97
24033800210,3143,0.600089910685877,0.136644249510347,37,66,55,62,86,74,60,78,70,17,84,72,50,86,78,50,79,64,38,62,52,20,50,32,80,92,81,76,88,79,66,85,75,54,76,65,88,97,91
24033800211,2976,0.532930107526882,0.125093249031267,39,64,54,64,83,72,61,75,67,17,76,67,50,80,75,51,74,61,61,76,67,29,58,41,75,84,73,71,83,73,62,78,68,56,73,63,90,96,90
24033800212,6691,0.532466785609253,0.111554363413647,35,61,46,60,81,64,57,72,60,17,76,61,50,80,71,50,73,55,45,64,51,6,13,9,80,86,72,75,85,72,71,83,69,51,69,55,83,94,83
24033800213,4210,0.447743467933492,0.086096018831457,36,55,38,61,74,54,61,68,55,17,65,46,50,72,63,52,68,47,46,58,43,23,44,23,76,76,61,78,80,64,67,75,56,83,81,63,85,91,71
24033800216,3741,0.421291173703221,0.063021081361069,38,55,29,62,72,43,51,60,39,17,62,29,50,70,55,48,64,33,56,63,39,15,29,12,88,80,56,67,73,45,77,78,51,36,50,29,86,89,54
24033800217,4390,0.516406321988098,0.103166251476635,38,62,46,62,81,62,51,66,55,17,74,56,50,79,68,47,70,50,82,85,71,31,59,37,86,88,71,58,75,58,69,80,65,62,75,60,89,95,82
24033800218,7149,0.603954560107825,0.151692903027793,37,66,58,61,86,78,49,71,66,17,84,78,50,87,82,49,78,67,46,70,64,13,35,23,84,94,87,67,85,78,69,87,80,40,64,57,88,98,93
24033800401,2493,0.279642853409742,0.072880667610580,35,39,31,59,54,47,39,40,35,17,45,36,50,60,58,42,43,33,20,25,19,37,45,32,57,53,45,25,31,22,24,29,23,44,44,38,89,75,65
24033800402,5101,0.342060093845242,0.078360343854092,39,49,38,57,61,48,39,46,37,17,53,40,50,65,60,40,49,34,40,45,36,21,32,20,51,55,44,28,38,27,24,33,24,62,60,49,92,85,70
24033800403,3932,0.342433204911743,0.070241807208798,40,50,34,59,63,46,37,45,33,17,53,33,50,65,57,41,50,31,30,38,26,15,24,14,56,59,44,25,35,21,20,29,19,42,48,36,84,81,59
24033800408,7170,0.513110181311017,0.111933878263567,53,72,60,55,76,60,53,68,58,17,73,61,50,78,71,37,62,44,28,47,36,38,65,45,63,74,63,47,67,53,33,53,41,45,63,50,69,88,74
24033800409,6662,0.413584594879175,0.074916636606802,46,61,42,57,68,47,41,53,38,17,61,37,50,69,59,38,54,31,32,44,29,16,31,15,55,64,45,35,51,31,18,31,18,34,48,31,84,88,63
24033800410,6935,0.417174418433559,0.046614476560357,44,60,25,62,72,33,34,48,21,17,61,20,50,70,51,42,58,22,17,29,10,43,63,24,63,68,35,32,48,19,15,28,8,0,0,0,70,82,31
24033800411,4448,0.498131478940231,0.097255603205857,46,67,51,63,80,60,41,59,46,17,71,53,50,76,66,43,66,45,26,44,30,28,55,32,74,80,64,40,60,42,41,60,43,17,35,21,61,83,60
24033800412,4401,0.582481176622211,0.157659349355926,56,77,74,55,81,75,70,83,80,17,82,80,50,84,84,39,68,60,46,68,65,40,70,60,77,89,85,53,76,72,59,79,76,73,85,81,71,93,89
24033800413,4571,0.601294246719233,0.130673387087595,54,76,66,56,83,67,64,80,71,17,84,69,50,86,76,39,69,52,69,84,73,28,61,41,76,90,76,49,74,61,52,76,64,78,88,77,66,92,79
24033800504,4531,0.301636838082054,0.076735630945820,31,38,29,55,54,46,60,56,51,17,48,38,50,62,59,39,44,33,30,35,28,18,25,18,46,49,40,35,41,32,35,39,31,50,50,42,84,77,64
