ID,ACSTOTPOP,DEMOGIDX_2,DEMOGIDX_5,P_PM25,P_D2_PM25,P_D5_PM25,P_OZONE,P_D2_OZONE,P_D5_OZONE,P_DSLPM,P_D2_DSLPM,P_D5_DSLPM,P_CANCER,P_D2_CANCER,P_D5_CANCER,P_RESP,P_D2_RESP,P_D5_RESP,P_RSEIAIR,P_D2_RSEIAIR,P_D5_RSEIAIR,P_PTRAF,P_D2_PTRAF,P_D5_PTRAF,P_LDPNT,P_D2_LDPNT,P_D5_LDPNT,P_PNPL,P_D2_PNPL,P_D5_PNPL,P_PRMP,P_D2_PRMP,P_D5_PRMP,P_PTSDF,P_D2_PTSDF,P_D5_PTSDF,P_UST,P_D2_UST,P_D5_UST,P_PWDIS,P_D2_PWDIS,P_D5_PWDIS
24005410100,6115,0.105872983303811,0.071040859749074,41,20,27,77,36,48,33,18,22,6,9,12,31,32,36,44,21,28,15,9,10,46,21,29,36,17,23,9,5,6,55,29,38,24,16,17,1,0,0
24005410200,4998,0.049719887955182,0.055113024781242,42,11,22,86,20,42,39,10,20,6,4,7,31,25,32,41,9,21,16,5,8,44,11,23,41,9,20,12,3,6,49,13,27,24,0,14,0,0,0
24005411101,2196,0.081898185450976,0.075742719771747,42,17,29,92,34,60,46,20,34,52,49,57,31,29,37,41,15,28,19,9,14,57,20,37,59,22,42,14,6,10,25,11,19,33,16,25,1,0,0
24005411102,3389,0.064768368250221,0.068420535103035,40,13,26,94,28,56,54,18,36,52,45,55,31,27,35,42,12,26,43,15,29,76,21,43,67,20,43,16,5,10,35,12,24,27,12,18,6,2,4
24005411201,3018,0.055767150316035,0.057801172629087,41,12,23,88,23,45,35,10,19,6,5,8,31,26,32,43,11,23,9,3,5,63,16,32,48,12,25,11,3,6,28,8,16,33,13,19,0,0,0
24005411202,4200,0.096252796420581,0.068010542656326,43,20,27,90,38,54,43,22,28,52,51,55,31,31,35,41,18,25,9,5,6,64,27,37,51,23,32,18,9,12,29,15,20,14,0,12,1,0,0
24005411302,4150,0.227951807228915,0.098290047414710,41,39,36,95,68,73,64,54,57,52,62,62,31,44,43,46,43,40,72,55,58,40,38,34,69,58,60,19,21,19,37,37,36,44,43,41,1,0,0
24005411303,6628,0.198023536511768,0.090242727469057,44,37,36,94,63,69,57,46,49,52,59,60,31,41,41,45,37,37,59,45,47,39,33,31,64,51,53,23,22,21,45,39,39,62,49,50,1,0,0
24005411306,5902,0.308917880944312,0.083005743182843,45,53,34,95,77,66,61,62,48,52,69,59,31,52,39,46,54,35,59,58,44,17,23,15,70,68,53,28,38,23,58,59,45,52,57,41,0,0,0
24005411307,3523,0.320181663355095,0.122828834083973,44,53,47,95,78,81,79,71,73,52,70,68,31,53,49,47,56,50,83,70,73,17,24,20,68,68,68,26,36,31,57,60,59,51,57,54,0,0,0
24005411308,4169,0.161272703964532,0.081424276713995,43,30,32,95,56,65,77,49,56,52,56,58,31,37,38,45,31,33,49,35,38,36,25,26,64,44,49,23,18,19,46,34,36,19,18,15,0,0,0
24005411309,8689,0.185857064852371,0.076105389925801,42,34,30,94,61,61,65,48,47,52,58,57,31,40,37,44,35,30,63,45,44,42,33,28,63,48,45,18,17,13,29,27,22,41,36,31,1,0,0
24005411404,3603,0.162225922842075,0.092913853885069,45,32,38,93,56,70,61,43,52,52,56,61,31,37,42,44,31,37,47,34,41,61,41,46,66,46,56,30,23,28,32,26,30,47,36,42,15,11,13
24005411406,4297,0.212162300095129,0.102147757099919,43,38,39,93,65,74,55,47,52,52,60,63,31,42,44,43,38,39,47,41,44,38,34,33,60,51,56,21,22,22,27,28,28,62,51,54,1,0,0
24005411408,3942,0.402714358193810,0.122760513133311,45,62,48,94,84,81,60,69,63,52,76,68,31,59,49,45,63,49,71,73,66,30,49,32,69,75,69,30,48,36,52,64,55,62,70,61,0,0,0
24005411409,4721,0.192764026251587,0.079100897905127,44,36,32,93,61,62,58,46,44,52,58,58,31,40,38,43,35,31,13,14,10,14,12,12,61,49,45,24,22,19,28,27,22,32,31,25,1,0,0
24005411410,4992,0.343349358974359,0.108593024865232,44,56,42,94,80,76,56,62,55,52,71,65,31,55,46,44,56,43,44,52,44,48,60,43,65,69,62,26,38,28,33,45,35,63,66,57,1,2,0
24005411411,2962,0.282410533423363,0.133564946209508,46,50,52,94,74,84,66,61,69,52,66,71,31,49,52,45,50,52,79,65,74,67,65,67,71,66,73,37,43,45,45,49,53,54,55,59,24,29,29
24005411412,4070,0.592628992628992,0.185144010488342,46,75,67,94,94,92,66,83,81,52,86,82,31,71,64,46,77,68,67,83,80,22,51,35,72,87,84,35,65,55,55,78,73,53,77,70,0,0,0
24005411413,3336,0.116781672113583,0.081839582698966,46,24,34,94,45,64,66,36,51,52,53,58,31,33,39,45,23,33,59,32,44,19,11,16,69,36,52,33,19,27,36,22,29,0,0,0,15,8,12
24005420100,3593,0.182298914556080,0.112398617776343,46,36,45,96,61,78,83,55,71,52,57,66,69,59,74,63,46,59,54,40,52,99,64,76,97,62,78,87,56,71,89,56,73,74,52,64,99,62,78
24005420200,3319,0.184609805771374,0.105651774692837,46,36,43,96,61,76,78,53,67,52,58,64,69,60,72,66,48,59,62,44,55,88,60,68,96,62,75,77,53,64,90,57,71,75,52,63,81,55,67
